meta_pmid	study_pmid
36100907	29432769
36100907	29723244
36100907	28287194
36100907	22453299
36100907	19538748
36100907	23155380
36100907	26347628
36100907	16038682
36100907	21118656
36100907	19794316
36100907	17923164
36100907	23021615
36100907	17825801
36100907	21418787
36100907	16838824
36100907	19942229
36100907	28549317
36100907	23776553
36100907	32490056
36100907	22952599
36100907	26952803
36100907	21710131
36100907	12853571
36100907	21498053
36100907	29740753
36436737	29432769
36436737	29723244
36436737	29582502
36436737	29097704
36436737	30154703
36436737	29890323
36436737	29760183
36436737	29740753
36436737	27496338
36436737	27576746
36436737	27510495
36436737	27494142
36436737	27375449
36436737	27319001
36436737	29777673
36436737	27095057
36436737	26969865
36436737	26892859
36436737	26746179
36436737	26567160
36436737	26505303
36436737	26417673
36436737	26385612
36436737	26342221
36436737	26323252
36436737	26301900
36436737	26254589
36436737	26235682
36436737	26117505
36436737	25697049
36436737	25534111
36436737	25315788
36436737	25281889
36436737	25118071
36436737	25042446
36436737	24936688
36436737	24842782
36436737	24825504
36436737	24726338
36436737	24700584
36436737	24652858
36436737	24633532
36436737	24243619
36436737	23813661
36436737	23740868
36436737	23684882
36436737	23620602
36436737	23460073
36436737	22848759
36436737	22841755
36436737	22726841
36436737	22174872
36436737	22019860
36436737	21955370
36436737	21940454
36436737	21908447
36436737	21849560
36436737	21664277
36436737	21606658
36436737	21600991
36436737	21569855
36436737	21320516
36436737	21249224
36436737	20705602
36436737	20534459
36436737	20096792
36436737	20056152
36436737	20045478
36436737	19944083
36436737	19439183
36436737	18633846
36436737	18633834
36436737	18985119
36436737	18985118
36436737	29771359
36436737	18783371
36436737	14568477
36436737	30852995
36436737	17986835
36436737	17627852
36436737	17404215
36436737	16035037
36436737	16759672
36436737	16171833
36436737	17071110
36436737	18370602
36436737	16055351
36436737	15701234
36436737	18439411
36436737	18514546
36436737	15528097
36436737	15006683
36436737	11850635
36436737	11496124
36436737	28008075
36436737	24666131
36436737	24582805
36436737	23876243
36436737	22125232
36436737	30930310
36436737	19304843
36436737	19347874
36436737	31598216
36436737	30077577
36436737	30658938
36436737	27716474
36436737	31090126
36436737	30272134
36436737	19136216
36436737	31783116
36436737	17408704
36436737	21206532
36436737	20119878
36436737	31142792
36436737	31056647
36436737	15808992
36436737	29330483
36436737	30056560
36436737	29324862
36436737	30349467
36436737	29265483
36436737	28905269
36436737	29073111
36436737	28931014
36436737	28504911
36436737	29476765
36436737	29221830
36436737	28477977
36436737	28338962
36436737	29039129
36436737	27856343
36436737	27803286
36436737	27568587
36436737	27798249
36436737	27622781
36436737	27266443
36436737	27458363
36436737	27477020
36436737	27528669
36436737	22563005
36436737	20188182
36436737	20071521
36436737	22661409
36436737	26143208
36436737	24084068
36436737	30649548
36436737	26803059
36436737	26656563
36436737	26608245
36436737	26604273
36436737	26481048
36436737	26365506
36436737	26337369
36436737	26262561
36436737	26206505
36436737	26168793
36436737	25944965
36436737	25996424
36436737	25929599
36436737	25729358
36436737	25716010
36436737	25640962
36436737	25298009
36436737	29077925
36436737	25911123
36436737	23599165
36436737	23574585
36436737	23508477
36436737	23482624
36436737	23378834
36436737	23327932
36436737	23298748
36436737	23249349
36436737	23063451
36436737	22956840
36436737	22349798
36436737	22019860
36436737	21864459
36436737	25088911
36436737	24814646
36436737	24583253
36436737	24639542
36436737	24772075
36436737	24462962
36436737	24824165
36436737	24294841
36436737	24414614
36436737	24834034
36436737	21862446
36436737	21703352
36436737	15488424
36436737	16122944
36436737	16406606
36436737	18633856
36436737	19733672
36436737	18501639
36436737	17964185
36436737	18486491
36436737	20188190
36436737	19015088
36436737	18633788
36436737	19048432
36436737	18537114
36436737	19199417
36436737	18585742
36436737	18603608
36436737	20350171
36436737	20350187
36436737	18313858
36436737	19107754
36436737	11352615
36436737	10607399
36436737	22360624
36436737	23435496
36436737	14980212
36436737	24097375
36436737	23221019
36436737	29079809
36436737	24294906
36436737	24068815
36436737	24051621
36436737	23988759
36436737	23887810
36436737	23722983
36436737	23720575
36436737	23696200
36436737	23667619
36436737	27236373
36436737	27165762
36436737	27096431
36436737	27090501
36436737	27039141
36436737	27007121
36436737	26920683
36436737	26908320
36436737	26812250
36436737	27217118
